,sample,timeSinceboot,ADC0,ADC1,ADC2
777,17.0,170585438.0,1.465503,0.677563,0.659839
778,16.0,170590457.0,1.515454,0.692065,0.671118
779,15.0,170595476.0,1.53479,0.681592,0.659839
780,15.0,170600494.0,1.498535,0.668701,0.64856
781,12.0,170615548.0,1.523511,0.66709,0.647754
782,11.0,170620566.0,1.480005,0.687231,0.670312
783,10.0,170625585.0,1.519482,0.69126,0.671924
784,9.0,170630605.0,1.541235,0.671118,0.650977
785,7.0,170640641.0,1.509814,0.690454,0.672729
786,6.0,170645659.0,1.533984,0.680786,0.659839
787,5.0,170650677.0,1.491284,0.671118,0.652588
788,3.0,170660713.0,1.524316,0.689648,0.66709
789,2.0,170665731.0,1.519482,0.670312,0.647754
790,1.0,170670749.0,1.482422,0.689648,0.668701
791,0.0,170675793.0,1.517871,0.692871,0.668701
792,18.0,170680831.0,1.535596,0.671118,0.647754
793,17.0,170685851.0,1.470337,0.684009,0.660645
794,16.0,170690870.0,1.512231,0.694482,0.671924
795,15.0,170695888.0,1.538013,0.683203,0.659839
796,14.0,170700906.0,1.490479,0.675146,0.654199
797,14.0,170705924.0,1.502563,0.694482,0.671924
798,13.0,170710942.0,1.525122,0.690454,0.66709
799,12.0,170715960.0,1.51062,0.670312,0.647754
800,10.0,170725996.0,1.521094,0.693677,0.668701
801,9.0,170731015.0,1.53479,0.673535,0.647754
802,8.0,170736033.0,1.477588,0.684814,0.662256
803,7.0,170741051.0,1.51626,0.694482,0.671924
804,5.0,170751087.0,1.490479,0.676758,0.653394
805,2.0,170766141.0,1.51062,0.671118,0.646948
806,1.0,170771159.0,1.484033,0.69126,0.670312
807,0.0,170776198.0,1.517871,0.692065,0.667895
808,18.0,170781232.0,1.531567,0.671924,0.647754
809,17.0,170786256.0,1.475171,0.686426,0.664673
810,16.0,170791275.0,1.512231,0.694482,0.671118
811,15.0,170796293.0,1.536401,0.680786,0.655811
812,14.0,170801311.0,1.484839,0.677563,0.655811
813,13.0,170806329.0,1.501758,0.693677,0.671924
814,12.0,170811347.0,1.527539,0.687231,0.665479
815,12.0,170816365.0,1.507397,0.668701,0.647754
816,11.0,170821383.0,1.489673,0.689648,0.668701
817,10.0,170826405.0,1.521899,0.689648,0.667895
818,9.0,170831425.0,1.529956,0.668701,0.647754
819,8.0,170836444.0,1.478394,0.683203,0.665479
820,7.0,170841462.0,1.517871,0.690454,0.672729
821,6.0,170846480.0,1.537207,0.675146,0.655811
822,4.0,170856516.0,1.504175,0.690454,0.673535
823,3.0,170861534.0,1.528345,0.686426,0.66709
824,2.0,170866552.0,1.50498,0.66709,0.651782
825,1.0,170871570.0,1.491284,0.687231,0.672729
826,0.0,170876607.0,1.522705,0.686426,0.670312
827,18.0,170881642.0,1.532373,0.66709,0.64856
828,17.0,170886663.0,1.477588,0.684814,0.666284
829,16.0,170891681.0,1.514648,0.690454,0.670312
830,15.0,170896699.0,1.536401,0.674341,0.651782
831,14.0,170901717.0,1.476782,0.675146,0.657422
832,13.0,170906735.0,1.504175,0.69126,0.671924
833,12.0,170911753.0,1.52915,0.684009,0.664673
834,11.0,170921789.0,1.493701,0.690454,0.671118
835,10.0,170926807.0,1.522705,0.690454,0.667895
836,9.0,170931826.0,1.524316,0.671118,0.646143
837,8.0,170936844.0,1.477588,0.689648,0.665479
838,7.0,170941862.0,1.51626,0.693677,0.667895
839,3.0,170961934.0,1.52915,0.687231,0.66145
840,2.0,170966952.0,1.495312,0.671924,0.649365
841,1.0,170971970.0,1.496118,0.692871,0.671924
842,0.0,170977008.0,1.525928,0.688037,0.665479
843,18.0,170982042.0,1.521899,0.671118,0.646948
844,17.0,170987065.0,1.478394,0.690454,0.668701
845,16.0,170992084.0,1.517871,0.695288,0.671924
846,15.0,170997103.0,1.530762,0.676758,0.653394
847,14.0,171002121.0,1.471143,0.683203,0.66145
848,13.0,171007139.0,1.512231,0.696094,0.671924
849,12.0,171012157.0,1.531567,0.686426,0.66145
850,11.0,171017175.0,1.500147,0.674341,0.650977
851,10.0,171022193.0,1.496924,0.693677,0.671118
852,9.0,171027215.0,1.517065,0.69126,0.66709
853,9.0,171032235.0,1.521094,0.671118,0.647754
854,8.0,171037253.0,1.483227,0.690454,0.668701
855,7.0,171042271.0,1.520288,0.693677,0.670312
856,5.0,171052307.0,1.475977,0.683203,0.660645
857,4.0,171057325.0,1.509814,0.694482,0.671118
858,3.0,171062343.0,1.533984,0.684009,0.659033
859,2.0,171067361.0,1.496118,0.673535,0.651782
860,0.0,171077415.0,1.522705,0.689648,0.66709
861,18.0,171082448.0,1.51062,0.670312,0.646948
862,17.0,171087469.0,1.484033,0.69126,0.667895
863,16.0,171092487.0,1.518677,0.693677,0.668701
864,15.0,171097505.0,1.53479,0.674341,0.649365
865,14.0,171102523.0,1.475977,0.684814,0.663867
866,13.0,171107541.0,1.511426,0.695288,0.671924
867,11.0,171117577.0,1.49209,0.675146,0.652588
868,10.0,171122595.0,1.504175,0.695288,0.670312
869,9.0,171127613.0,1.524316,0.690454,0.663867
870,8.0,171132631.0,1.51626,0.671924,0.645337
871,6.0,171147685.0,1.538818,0.674341,0.646143
872,5.0,171152703.0,1.475977,0.684814,0.659033
873,4.0,171157721.0,1.506592,0.694482,0.667895
874,3.0,171162739.0,1.538013,0.681592,0.654199
875,18.0,171182844.0,1.509814,0.671118,0.638086
876,17.0,171187866.0,1.49209,0.692871,0.660645
877,16.0,171192885.0,1.518677,0.693677,0.662256
878,15.0,171197903.0,1.533984,0.673535,0.64292
879,14.0,171202921.0,1.477588,0.686426,0.658228
880,12.0,171212957.0,1.536401,0.680786,0.650171
881,11.0,171217975.0,1.484033,0.677563,0.651782
882,10.0,171222993.0,1.505786,0.694482,0.667895
883,9.0,171228012.0,1.525122,0.689648,0.663867
884,8.0,171233030.0,1.506592,0.671924,0.646143
885,7.0,171238048.0,1.492895,0.692065,0.668701
886,6.0,171248084.0,1.527539,0.672729,0.647754
887,5.0,171253102.0,1.477588,0.687231,0.663867
888,1.0,171273174.0,1.50498,0.696094,0.671118
889,0.0,171278211.0,1.523511,0.683203,0.672729
890,18.0,171283245.0,1.505786,0.672729,0.647754
891,17.0,171288267.0,1.492895,0.692871,0.669507
892,16.0,171293286.0,1.51626,0.692065,0.667895
893,15.0,171298305.0,1.525122,0.671924,0.646948
894,14.0,171303323.0,1.481616,0.689648,0.664673
895,12.0,171313359.0,1.538818,0.679175,0.651782
896,11.0,171318377.0,1.480811,0.680786,0.655005
897,10.0,171323395.0,1.504175,0.696094,0.670312
898,9.0,171328414.0,1.525928,0.689648,0.663867
899,7.0,171338450.0,1.496118,0.692871,0.667895
900,6.0,171343468.0,1.523511,0.692065,0.66709
901,5.0,171348486.0,1.524316,0.671924,0.647754
902,5.0,171353504.0,1.478394,0.689648,0.667895
903,4.0,171358522.0,1.519482,0.694482,0.671118
904,3.0,171363540.0,1.535596,0.677563,0.653394
905,2.0,171368558.0,1.475977,0.681592,0.660645
906,0.0,171378615.0,1.527539,0.684009,0.662256
907,18.0,171383648.0,1.498535,0.672729,0.650977
908,17.0,171388671.0,1.493701,0.694482,0.671924
909,16.0,171393690.0,1.523511,0.692065,0.667895
910,15.0,171398709.0,1.521899,0.671924,0.646143
911,14.0,171403726.0,1.476782,0.690454,0.667895
912,13.0,171408744.0,1.517065,0.693677,0.670312
913,12.0,171413762.0,1.541235,0.676758,0.650977
914,11.0,171418780.0,1.475171,0.682397,0.660645
915,10.0,171423798.0,1.508203,0.694482,0.671924
916,9.0,171428816.0,1.532373,0.68562,0.660645
917,8.0,171433834.0,1.495312,0.673535,0.649365
918,6.0,171443870.0,1.524316,0.69126,0.666284
919,5.0,171448888.0,1.521899,0.671924,0.646948
920,4.0,171453906.0,1.482422,0.690454,0.668701
921,3.0,171458924.0,1.514648,0.693677,0.669507
922,3.0,171463942.0,1.537207,0.675146,0.649365
923,2.0,171468960.0,1.477588,0.684009,0.659839
924,1.0,171473978.0,1.511426,0.694482,0.670312
925,0.0,171479019.0,1.532373,0.683203,0.658228
926,18.0,171484050.0,1.49209,0.673535,0.649365
927,17.0,171489069.0,1.500147,0.694482,0.668701
928,16.0,171494087.0,1.525122,0.69126,0.666284
929,15.0,171499105.0,1.517871,0.671924,0.646948
930,13.0,171509141.0,1.51626,0.693677,0.670312
931,12.0,171514159.0,1.537207,0.673535,0.650977
932,11.0,171519177.0,1.473559,0.682397,0.663867
933,10.0,171524197.0,1.512231,0.692871,0.671924
934,6.0,171544270.0,1.524316,0.687231,0.665479
935,5.0,171549288.0,1.515454,0.667895,0.646948
936,4.0,171554306.0,1.488062,0.687231,0.667895
937,3.0,171559324.0,1.519482,0.689648,0.668701
938,2.0,171564342.0,1.533984,0.670312,0.64856
939,1.0,171574379.0,1.512231,0.69126,0.670312
940,0.0,171579417.0,1.536401,0.676758,0.655005
941,18.0,171584451.0,1.48645,0.671924,0.651782
942,17.0,171589473.0,1.508203,0.69126,0.668701
943,16.0,171594491.0,1.524316,0.68562,0.662256
944,15.0,171599509.0,1.506592,0.66709,0.644531
945,14.0,171604527.0,1.489673,0.687231,0.666284
946,13.0,171609545.0,1.522705,0.689648,0.667895
947,12.0,171614563.0,1.531567,0.668701,0.647754
948,11.0,171619581.0,1.476782,0.681592,0.664673
949,10.0,171624601.0,1.511426,0.69126,0.672729
950,9.0,171629620.0,1.538013,0.676758,0.657422
951,8.0,171634638.0,1.48645,0.672729,0.656616
952,6.0,171644674.0,1.525122,0.68562,0.666284
953,5.0,171649692.0,1.515454,0.667895,0.649365
954,4.0,171654710.0,1.490479,0.687231,0.671118
